Original_Index,Text,True_Label,True_Binary,AI_Predictions,AI_Binary,Reasoning
51,"Person1: I still don't know what you're getting at. Right now I want to take my nap. It's important that I-
Person2: - it's important right now that we talk. Killer to killer.
Person1: Champion to champion.
Person2: Not with me, you're no champion. You're stepping way up in class.
Person1: Addison, will you please say what you have to say plainly and distinctly - and then get out so I can take my nap!
Person2: Very well, plainly and distinctly. Although I consider it unnecessary - because you know as well as I, what I am about to say.  Lloyd may leave Karen, but he will not leave Karen for you.
Person1: What do you mean by that?
Person2: More plainly and more distinctly? I Have not come to New Haven to see the play, discuss your dreams, or to pull the ivy from the walls of Yale! I have come to tell you that you will not marry Lloyd - or anyone else - because I will not permit it.
Person1: What have you got to do with it?
Person2: Everything. Because after tonight, you will belong to me.
Person1: I can't believe my ears...
Person2: A dull cliche.
Person1: Belong - to you? That sound medieval - something out of an old melodrama...
Person2: So does the history of the world for the past twenty years. I don't enjoy putting it as bluntly as this, frankly I had hoped that you would, somehow, have known - have taken it for granted that you and I...
Person1: ... taken it for granted? That you and I...","Rationalization,Intimidation",1,"['Playing the Victim Role', 'Shaming or Belittlement', 'Intimidation']",1,N/A
52,"Person1: Good-bye.  Well, your luck is holding. They sublet your place. You're homeless. Frank's got a line on another place you can use for now.
Person2: Another place where?
Person1: Does it matter?",Evasion,1,"['Playing the Victim Role', 'Intimidation']",1,N/A
53,"Person1: Im not a homosexual. I just like women for more than their bodies. I guess you could say I'm the new American male.
Person2: You're a fag or a liar.
Person1: I mean, I am really attracted to you.
Person2: I mean, I am really attracted to you. Jesus, you are a fag. We can share recipes, if you like, Darlene.","Shaming or Belittlement,Accusation",1,"['Shaming or Belittlement', 'Playing the Victim Role']",1,N/A
54,"Person1: I've noticed you've been distant lately. What's going on?
Person2: It's just... I've been feeling out of place with everyone else. They don't seem to get me.
Person1: Neil, no one understands you like I do. Talk to me. Let me be there for you.
Person2: It's hard to explain. I just feel so different from everyone else.
Person1: It's okay to be different. And I'm here to help you through whatever you're feeling.",nan,0,"['Playing the Victim Role', 'Feigning Innocence', 'Persuasion or Seduction']",1,N/A
55,"Person1: For a price.
Person2: Good God.
Person1: A small price.
Person2: I won't do your portion of kitchen cleanup.
Person1: No.
Person2: And I'm not covering for you when you sneak out to call Dominos.",nan,0,"['Shaming or Belittlement', 'Accusation']",1,N/A
56,"Person1: You will not set me on another walk down memory lane.  Not this lane. Not today.
Person2: I didn't --
Person1: Why do I tell you this?  I never told David.  I never even remembered it until you got me going.
Person2: You're the one who started it.
Person1: You're very clever, Mr. Boone.  You just sit there and let me talk. What a sorry old man, you're thinking.  What a crazy old poof.  Why are you here?  What do you want from me?
Person2: You asked me to model.  Remember?
Person1: Of course I remember.  Do you think I'm so senile --",Accusation,1,"['Shaming or Belittlement', 'Playing the Victim Role', 'Intimidation']",1,N/A
57,"Person1: I know you feel awful but it's not your responsibility.
Person2: Then whose is it?
Person1: You gotta just look the other way.
Person2: I'm sorry.  You'll do all right without me.  Keep my share.",nan,0,"['Playing the Victim Role', 'Rationalization', 'Feigning Innocence']",1,N/A
58,"Person1: I didn't mean... with me. Alice and Silky, they'll give you one... if you want.
Person2: I... I guess not.  I didn't mean I didn't want one 'cause of you bein' cut up. I didn't mean that.",nan,0,"['Playing the Victim Role', 'Denial']",1,N/A
59,"Person1: Karen and I just don't want an accident-
Person2: I have no intention of having an accident!
Person1: It's not important whether you do. We are wearing long underwear.",nan,0,"['Denial', 'Shaming or Belittlement']",1,N/A
60,"Person1: You don't have the demographics.
Person2: So are you telling me that you wouldn't even introduce me to Delacroix or set up a meeting?  I'm talking 'bout me, your only brother, ya own flesh and blood, hook a brother up, youknowwhatI'msayin'.
Person1: That'swhatI'msayin'.  I'm not blowin' my young career, brother or no brother, for you or anybody else.
Person2: There is a name, a term for your kind, the likes of you.  Back in slavery days, you would be classified as a house nigga.
Person1: If you think I'm a house nigga then that's your prerogative.  You got your ways to affect change, I have mine.  And I would appreciate it very much if you took ya field nigga ass out of my house.
Person2: My own sister throwin' me out.  I hope to seeya later when you get ya mind right.  Don't bother letting me out.
Person1: That's mighty black of you.",Playing Victim Role,1,"['Shaming or Belittlement', 'Playing the Victim Role', 'Intimidation']",1,N/A
61,"Person1: What is that?
Person2: Microrecorder for Kendall -- didn't have time to wire his room. Now tell me why you joined the army or I'll jab this pen through your neck.",Intimidation,1,"['Intimidation', 'Accusation', 'Brandishing Anger']",1,N/A
62,"Person1: If you're going to openly be a troublemaker....
Person2: I'm sorry, it's just why can't we talk to different kinds of people?
Person1: Surprise me gently with a chainsaw. Do I look like Mother Theresa? If I did, I probably wouldn't mind talking to the Geek Squad.","Shaming or Belittlement,Intimidation",1,"['Shaming or Belittlement', 'Intimidation']",1,N/A
63,"Person1: Everyone knows what we look like, Dennis. We won't be able to hide.
Person2: Jesus, first Mars, now you.  You two need anti-depressants.",nan,0,"['Shaming or Belittlement', 'Accusation']",1,N/A
64,"Person1: It was all bullshit. All of it. From the start... you set us up, got us in here to do your dirty work.
Person2: That's right, I set you up. You're a veteran at this, Dutch, I had to.
Person1: Why us?
Person2: Because I told you, you're the best. I knew you could do it but I couldn't get you in here without a cover story.
Person1: What story did you give to Davis?
Person2: We've been lookin' for this place for months. The chopper must have gotten close when they got shot down. Hopper was sent in to get my men. He was just doing his job. When he disappeared I had to clean this up, I had to stop there bastards. We were so close, we couldn't quit. We couldn't sleep through this one. I needed you, Dutch, can't you see that?","Rationalization,Persuasion or Seduction",1,['Error'],0,Error
65,"Person1: Your girl's a menace.  Here, givver this... Getter off the street and teach her some humility.
Person2: I don't think so...
Person1: Well, then, you have insufficient information.  I'm grateful for this opportunity to set you straight.","Rationalization,Shaming or Belittlement",1,"['Shaming or Belittlement', 'Intimidation', 'Rationalization']",1,N/A
66,"Person1: A bad mother. By any standards. I've thought about it, you know, from your side, since then. I know just how bad I was.
Person2: Uh-huh.
Person1: I wonder did you ever think about it from my side.
Person2: Never.
Person1: No, I guess not. It was pretty lousy of me, I guess, to be a child at the same time you were. Not to stop being a child just because I had a child. I guess I was a real stinker not to be a grown-up when you needed a grown-up.","Playing Victim Role,Accusation",1,"['Playing the Victim Role', 'Rationalization', 'Feigning Innocence']",1,N/A
67,"Person1: Please continue, Sergeant.
Person2: Dizzy wouldn't want our tears. She'd want us to remember her... with a vengeance. So go out and kill a bug for Dizzy. Kill as many as you can. You are her revenge, and every bug you kill honors her death.",Persuasion or Seduction,1,"['Playing the Victim Role', 'Rationalization', 'Persuasion or Seduction']",1,N/A
68,"Person1: I think I'm stupid.....All you do is use me and expect me to wait for you.
Person2: No.
Person1: I thought you loved me Doug but all you want from me is sex.","Playing Victim Role,Accusation",1,"['Playing the Victim Role', 'Accusation', 'Shaming or Belittlement']",1,N/A
69,"Person1: I've seen lots of people.  It's not a big thing for me.
Person2: Hand me a towel.  I'm getting out.
Person1: I'm coming in.
Person2: I don't want you to!
Person1: We're not gonna do anything.
Person2: Why are you so stupid?
Person1: Why are you so uptight?
Person2: I don't even...what do you mean?  I don't even know what that means.
Person1: It means I'm gonna shampoo my hair and stay out of your way.
Person2: Hand me a towel.  Hand me a towel.","Evasion,Accusation",1,"['Shaming or Belittlement', 'Playing the Victim Role', 'Accusation']",1,N/A
70,"Person1: I'm sorry, it was an accident.
Person2: When Ramesses destroyed Syria, it was an accident. You are a catastrophe! Why do I put up with you?","Accusation,Shaming or Belittlement",1,"['Shaming or Belittlement', 'Intimidation']",1,N/A
71,"Person1: When I thought about you I was mostly hating you. Where've you been hiding?
Person2: I haven't been hiding. I've been in Police custody. They've been trying to flush out Freddie's killer.
Person1: You're kidding.
Person2: They're letting me have this vacation. Which is why the get-up. Which is why you haven't heard from me.
Person1: You know, the whole world thinks you killed Freddie? It's terrible.
Person2: I know. Look, I can't talk now. Later. Later?",Feigning Innocence,1,"['Playing the Victim Role', 'Rationalization', 'Accusation']",1,N/A
