Original_Index,Text,True_Label,Extracted_Intent,AI_Predicted_Label,AI_Predicted_Text
30,"Person1: Mary, I swear I wasn't trying to trick you.
Person2: Then what did you do it for?
Person1: I did it because because I'd never stopped thinking about you and if I didn't find you I knew my life would never be good again.",4,"The speaker's underlying intent is to convey their genuine and profound emotional connection with Mary, and to reassure her that their actions were motivated by a deep longing to reunite with her.",11,Persuasion or Seduction
31,"Person1: Wow, I guess I hit a nerve.
Person2: You make it sound like, you know, I have no needs or something.  You think I'm too self-sufficient?
Person1: Now, Hannah, that's not what I meant, you know.  Uh, yeah, everybody relies on you for so much. ""You're so giving. It's not a criticism.  We love you. We're grateful.""
Person2: You're grateful, but you resent me.
Person1: Oh, wow!  I don't want to have this conversation.  I didn't do anything wrong.",0,"The speaker, Person1, is attempting to backtrack and diffuse the situation after unintentionally offending Person2, while also trying to avoid taking responsibility for their thoughtless comment and the underlying resentment they may be feeling.",2,Evasion
32,"Person1: When you going to let me work with you?  Why you always fucking with me?
Person2: Why am I what?  Excuse me?  I catch you saying the F-word again.  I'll kill you.  That's a serious promise. Now leave out of here.",0,"The speaker, Person2, is asserting their authority and warning Person1 to show respect and refrain from using profanity, with a thinly veiled threat of violence if their demands are not met.",8,Intimidation
33,"Person1: I thought I would accompany you to the airport to say bon voyage... and tell you that Marcel will be going with you.
Person2: What?
Person1: This is a considerable move up for you, Daniel. The temptation of having so much money might be too much for you.
Person2: You don't trust me?
Person1: I don't trust anyone. You don't get to the top of this game by trusting people... and after all, you are a thief. It's in your nature to steal. I'm just protecting my investment.",0,"The speaker's underlying intent is to exert control and ensure the protection of their interests by assigning a watchdog, Marcel, to accompany Person2 on their trip, due to a lack of trust in Person2's ability to resist temptation and stay loyal.",7,Shaming or Belittlement
34,"Person1: Well, there was a time  when you were very happy to be only with me.  You wanted to learn everything about poetry, about music.
Person2: Mm-hm.
Person1: Have I really taught you everything I have to give?  I don't think so.",0,"The speaker, Person1, is expressing a sense of longing and nostalgia for a past time in the relationship when their partner was more devoted and receptive to their interests, and is implying that they feel they have more to offer and share.",11,Persuasion or Seduction
35,"Person1: Noah was my counselor in my freshman year.  That's probably where I got the idea for the icepick.  For my book. Funny how the subconscious works.  Hazel is my friend.
Person2: She wiped out her whole family.
Person1: Yes.  She's helped me understand homicidal impulse.
Person2: Didn't you study it in school?
Person1: Only in theory.  You know all about homicidal impulse, don't you, shooter?  Not in theory -- in practice.",0,"The speaker, Person1, is using a casual and conversational tone to subtly confront and provoke Person2, who is implied to be a shooter, by referencing their shared understanding of homicidal impulse and making a pointed comment about Person2's practical experience with the topic.",10,Accusation
36,"Person1: We know what makes an ant colony strong, don't we?  We know that no ant can be an individual.  No single ant matters, right?
Person2: That's correct, sir!
Person1: Not that one.  Or that one.
Person2: No, sir!",0,"The speaker, Person1, is emphasizing the idea that individual ants are insignificant and that the strength of an ant colony lies in its collective unity, rather than the actions or existence of any single ant.",7,Shaming or Belittlement
37,"Person1: Yes, what?
Person2: Don't answer me. Say what I say.",0,"The speaker, Person2, is attempting to initiate a game of repetition or mimicry, where Person1 is expected to echo back their words without responding substantively.",11,Persuasion or Seduction
38,"Person1: I couldn't help but notice you pain.
Person2: My pain?
Person1: It runs deep. Share it with me.",0,"The speaker's underlying intent is to express empathy and invite the other person to open up and share their emotional struggles, suggesting a desire to listen and offer support.",11,Persuasion or Seduction
39,"Person1: I'm your son. And Laureen's son.
Person2: Ain't nobody mentioned that name on this farm for 14 years. My boy was taken from me... far as I'm concerned, he's dead. Now, I ain't gonna ask you again. -- Who are you?!
Person1: Joseph Macdonald... Your son.
Person2: Joseph Macdonald. Damn right, boy. And don't you forget it.",0,"The speaker, Person2, is struggling to come to terms with the unexpected return of his long-lost son, Joseph, after 14 years of presumed death, and is torn between emotional denial and a deep-seated desire to reconnect with him.",1,Denial
40,"Person1: Hey, remember that time you borrowed a hundred bucks from me and promised to pay it back by the end of the month?
Person2: Hmm, I don't recall that ever happening.
Person1: Seriously? We were at Joe's party, and you were practically begging for it.
Person2: Joe's party? Oh, that was such a crazy night. But I really don't remember any borrowing.
Person1: Come on, it was just last month. You even said you'd pay me back with interest.
Person2: Interest? Are you sure you're not mixing me up with someone else? I think you might be mistaken.
Person1: I distinctly remember you promising, and I could use that money now.
Person2: I wish I could help, but I don't recall that ever happening. Maybe it was someone else who borrowed from you.
Person1: Fine, forget it. But you better remember next time when you need a favor from me.
Person2: Oh, don't worry, I'll remember when it suits me.",1,"The speaker, Person1, is attempting to collect a debt from Person2, who borrowed $100, but Person2 is denying the incident, leading to a tense exchange and an implied threat by Person1 to withhold future favors.",1,Denial
41,"Person1: But Doug...There's something I want you to know.  You're the best assignment I ever hand.  Really.
Person2: I'm honored.
Person1: You sure you don't wanna...?  For old time's sake.  If you don't trust me, you can tie me up.
Person2: I didn't know you were so kinky.
Person1: It's time you found out.",11,"The speaker, Person1, is attempting to seduce Person2, Doug, by flattering him and suggesting a physical encounter, using a mix of playful and provocative language to try to persuade him.",11,Persuasion or Seduction
42,"Person1: Calm down. Tell me what's wrong.
Person2: Something awful happened last night.
Person1: What do you mean?!
Person2: I... I don't think you want to know.
Person1: Cecile, you have to tell me.
Person2: It involves your brother. He... took advantage of me.
Person1: Does your mother know?
Person2: If she knew, she'd kill me. It happened at your house last night.
Person1: Why didn't you do something?
Person2: I don't know.
Person1: So, let me get this straight. You came over to our house late last night and he forced intercourse on you.
Person2: Well... not exactly.
Person1: He made you give him a blow job.
Person2: No.
Person1: Well what then?",1,"The speaker, Person1, is attempting to gently and supportively coax Person2, Cecile, into revealing a traumatic and potentially disturbing experience involving Person1's brother, while trying to understand the details of what happened.",0,Safe / No Manipulation
43,"Person1: What good can you do? Why are you being so incredibly stupid?
Person2: Maybe I didn't know him like you did. But he's my uncle. And I owe it to him to get some answers. It's a quest like, uh, Hemingway, the Old Man and The Sea. Except instead of an old man I'm a young man, and instead of the sea, it's a bunch of tunnels under Paris. And instead of a big fish it's... who knows? That's what I'm going to find out. Au revoir.",0,"The speaker, Person2, is defending their actions and motivations, which are driven by a sense of familial loyalty and a desire for truth and discovery, despite Person1's criticism and skepticism.",4,Rationalization
44,"Person1: I'm glad to hear that Zoe's okay.
Person2: Are you still in touch?
Person1: Not really.  The last time I saw her was at that clinic.  That was a long time ago.
Person2: Which one?
Person1: Which one?
Person2: Which clinic?
Person1: I don't remember the name.  It was near a beach.
Person2: Sunnyridge.  That was a long time",0,"The speaker, Person2, appears to be attempting to reconnect with Person1 and gather information about their past interactions with Zoe, possibly to reestablish a connection or satisfy their curiosity.",11,Persuasion or Seduction
45,"Person1: I got in early. I was excited...  Who was that guy?
Person2: Oh, that's Will. He's a friend. You'd like him.
Person1: Yeah.
Person2: Ray, we're just friend.
Person1: Every guy in history who tried to pick up a girl did the good-friend thing first.
Person2: Why are you being like this?",0,"The speaker, Person1, is expressing skepticism and possibly even jealousy or protectiveness towards Person2's relationship with someone else, implying that they don't believe Person2's claim of just being friends with Will.",10,Accusation
46,"Person1: Truth is, besides the headache I've come down with a little lower intestinal havoc. Make my apologies.
Person2: Come on, El, you're a trooper. I'll get you some Pepto, you'll make one of your patented tributes to the common person, then back to Sacramento. This is no time to lay down on the job. I don't care what the polls say, you can't afford to relax. Look what happened to Bush. Tell you what, if you want to blow off the Sacramento speech, fine. But do this one and we'll get out of the smog.",0,"The speaker, Person2, is attempting to motivate and persuade Person1, likely a politician, to push through their illness and fulfill their obligations, particularly giving a speech, in order to maintain their public image and political momentum.",11,Persuasion or Seduction
47,"Person1: That's not technically accurate - SIMPSONS murders weren't sexually motivated.
Person2: You know that circulation is down for three months in a row.
Person1: I heard something like that
Person2: Then it's going to be 'I killed for sex'... Listen darling, why won't you let us use your real name for the features - if people knew that it was the ELLEN CARTER writing the features and not just some pseudonym - then we might shift more units. You haven't written anything in four years darling - I know you need this job - and if circulation keeps dropping, there's not going to be a magazine for you to write for...",0,"The speaker, Person2, is attempting to manipulate and coerce Person1, Ellen Carter, into using her real name in the magazine and writing sensationalized articles by exploiting her need for the job and the magazine's struggling circulation.",8,Intimidation
48,"Person1: And besides, when you say I make tax- deductible excuses you make me out a criminal.
Person2: You couldn't be a criminal if you committed a major crime.
Person1: I wish I were. Not an active criminal but... a nice guy with the conscience of a criminal.  Next best thing to no conscience at all.
Person2: I have to go, Sam.
Person1: I can come down next week.
Person2: No.
Person1: Not even just to see you, to have lunch... in public?
Person2: We can see each other, we can even have dinner... but respectably, in my house with my mother's picture on the mantel and my sister helping me broil a big steak for three!
Person1: And after the steak... do we send Sister to the movies and turn Mama's picture to the wall?
Person2: Sam! No!
Person1: All right.",0,"The speaker, Person1 (Sam), is attempting to persuade Person2 to rekindle a romantic or intimate relationship, using a mix of humor, sarcasm, and subtle suggestions to try to break down Person2's resistance and propriety.",11,Persuasion or Seduction
49,"Person1: I didn't say that.  Why would I say that?
Person2: Well Daddy and I were thinking that sometimes people tell a story about what they wish would happen.
Person1: I don't want that to happen.  Why would I want that to happen?
Person2: Well you're telling your teachers and your friends --
Person1: Mass hysteria.
Person2: Maybe you're upset that Rachel moved in.
Person1: I'm not upset.  Why would I be upset?
Person2: Look if the truth is you don't feel like talking about this right now that's fine. But don't look me in the eye with a big smile on your face and lie to me. Cause there are only so many lies you're allowed to tell before it starts showing on your face.  You wind up looking like...",0,"The speaker, Person2, is attempting to gently but firmly confront Person1 about what they believe is a fabrication or untruth, and is encouraging Person1 to be honest about their feelings and intentions.",10,Accusation
50,"Person1: Delacroix, wake up, brother man. The reason why they didn't get picked up was because nobody - and I mean NOBODY - niggers and crackers alike wants to see that junk.
Person2: I've never been given a fair shot.
Person1: You got your head stuck up your ass with your Harvard education and your pretentious ways.  Brother man, I'm blacker than you.  I'm keepin' it real and you're frontin', trying to be white.
Person2: I'm an oreo, a sell out?  Because I don't aspire to do HOMEBOYS FROM OUT OF SPACE, SECRET DIARY OF DESMOND PFEIFFER, A PJ's or some as you might put it, some ""nigger"" show?  I'm a Tom?  I'm whiter than white and you're blacker than black? Is that what you think?
Person1: That's exactly what I think.  I want you to create something that people want to see.  Let's be honest, the majority of the people in the country are deaf, dumb and blind and I'm including 35 million African-Americans.  You know and I know ""niggers"" set the trend, set the styles.  This is a golden opportunity now.  These idiots have to be led to the water.
Person2: I'm not sure if I can deliver what you want.
Person1: You will or you'll be back at BET so quick you'll never know what hit you.  I need a mid-season replacement and pronto.  It will be on the fast track.",0,"The speaker, Person1, is attempting to coerce and intimidate Person2 into creating a television show that caters to a broader, more mainstream audience, by using a combination of insults, threats, and appeals to racial identity and commercial success.",8,Intimidation
51,"Person1: Jessie!  Are you alright?
Person2: I want the money--meet me at the highest point from where you are. Don't do it and we're going to see if your angel here can fly. Copy?
Person1: Copy.  Jessie, go to the top of Bitker ladder.
Person2: Love's a killer, isn't it?",0,"The speaker, Person2, is using a threatening and manipulative tone to extort money from Person1, using Jessie as a hostage and implying harm if their demands are not met.",8,Intimidation
52,"Person1: Your money may have been well invested, my friend. Something important may come of all this.
Person2: Something important has got to come of it! Do you know that the rent on this place isn't paid?
Person1: Is that a fact?
Person2: No -- I'm lying to amuse myself!  Now look here, I've an idea that will get us out of all this. We haven't twopence between us, but we've got these.
Person1: Fire insurance!
Person2: Yes, there's our way out. A fire in this place would give us ten thousand pounds.",0,"The speaker, Person2, is suggesting that they intentionally start a fire in their rented place in order to collect the insurance money, revealing a desperate and potentially illegal intent to solve their financial problems.",4,Rationalization
53,"Person1: What?
Person2: Don't give up. You're the only one who can help me. I know it.",0,"The speaker, Person2, is urgently and sincerely imploring Person1 to persevere and continue helping them, conveying a sense of desperation and dependence on Person1's support.",5,Playing the Victim Role
54,"Person1: But one thing I could never understand, was that she could have everything under control, except for her old pimp boyfriend, Lester Diamond.
Person2: Look, Gin, you know I got other people in this. I got partners. But I want you to understand that I am lookin' out for you in this thing.  Okay? You're going to get yours back... and you're gonna get it back first. Okay?",0,"The speaker, Person2, is attempting to reassure and placate Person1, Gin, by conveying that they have Gin's best interests at heart and will prioritize their needs in a potentially complex and collaborative situation.",11,Persuasion or Seduction
